;loss;mae;mean_squared_error;r2_score;val_loss;val_mae;val_mean_squared_error;val_r2_score;test_loss;test_mae;test_mean_squared_error;test_r2_score
0;21716544.0;2744.557861328125;21716544.0;0.8414722681045532;28420984.0;2924.2421875;28420984.0;0.8179562091827393;26335040.0;2818.828369140625;26335040.0;0.8368844389915466
1;20266144.0;2564.76904296875;20266144.0;0.8591214418411255;20541918.0;2811.10546875;20541918.0;0.8489469289779663;27912134.0;3072.3125;27912134.0;0.7634069919586182
2;23638624.0;2918.630859375;23638624.0;0.8390151858329773;28104536.0;3023.165283203125;28104536.0;0.8275669813156128;18440374.0;2479.8779296875;18440374.0;0.8544497489929199
3;21453998.0;2786.5283203125;21453998.0;0.8438238501548767;26216562.0;2880.380126953125;26216562.0;0.8391880989074707;18977168.0;2561.355712890625;18977168.0;0.8464177846908569
4;21679396.0;2682.3486328125;21679396.0;0.8436970710754395;23235704.0;2846.406494140625;23235704.0;0.8525744080543518;26266690.0;2930.1123046875;26266690.0;0.7842608690261841
5;21647238.0;2869.81689453125;21647238.0;0.8469879031181335;29726886.0;3457.623046875;29726886.0;0.8146481513977051;20729806.0;2842.630126953125;20729806.0;0.8421197533607483
6;19770526.0;2644.459228515625;19770526.0;0.8554028272628784;24314482.0;2758.3994140625;24314482.0;0.8547306060791016;23781006.0;2758.114990234375;23781006.0;0.794297456741333
7;19339324.0;2647.3408203125;19339324.0;0.8644919991493225;19413838.0;2784.495849609375;19413838.0;0.8622387647628784;36179204.0;3485.559814453125;36179204.0;0.7200353741645813
8;22892080.0;2639.424072265625;22892078.0;0.8388573527336121;30953244.0;3925.03662109375;30953244.0;0.7971737384796143;21605682.0;3360.697509765625;21605682.0;0.8083358407020569
9;24546380.0;2773.373291015625;24546380.0;0.830206573009491;23720152.0;2925.3798828125;23720152.0;0.8403055667877197;19696326.0;2792.511474609375;19696326.0;0.8588280081748962
10;21888952.0;2848.152099609375;21888952.0;0.8414649367332458;24415180.0;2830.66259765625;24415180.0;0.8271923661231995;26426338.0;2885.23681640625;26426338.0;0.8122466802597046
11;20595324.0;2678.52490234375;20595324.0;0.859282374382019;24326228.0;3129.572998046875;24326228.0;0.8435585498809814;21901086.0;2886.672607421875;21901086.0;0.8404427170753479
12;20146510.0;2680.5546875;20146510.0;0.8519453406333923;26805052.0;3101.72021484375;26805052.0;0.8392573595046997;25910086.0;3146.919921875;25910086.0;0.7768418788909912
13;23277112.0;2724.470703125;23277112.0;0.8467259407043457;24070020.0;2978.97314453125;24070020.0;0.8518840074539185;22071376.0;2562.681396484375;22071376.0;0.8102190494537354
14;22478328.0;2859.907470703125;22478328.0;0.8444043397903442;30298136.0;2686.77880859375;30298136.0;0.7926973104476929;24313778.0;2538.525390625;24313778.0;0.8027169704437256
15;20425290.0;2525.898681640625;20425290.0;0.8556543588638306;25062072.0;3107.78515625;25062072.0;0.8413733839988708;21944878.0;2995.42626953125;21944878.0;0.7943761944770813
16;22439608.0;2707.410888671875;22439608.0;0.8428272008895874;26333428.0;3168.595458984375;26333426.0;0.822486400604248;21613706.0;2895.67041015625;21613706.0;0.7696311473846436
17;21135874.0;2576.7265625;21135874.0;0.8561949133872986;21735518.0;3047.584716796875;21735518.0;0.860075831413269;22685042.0;3081.290771484375;22685042.0;0.7960218787193298
18;20567438.0;2515.94775390625;20567438.0;0.8434744477272034;24561718.0;2866.3779296875;24561718.0;0.8360642194747925;19196500.0;2568.944580078125;19196500.0;0.8837347626686096
19;21140872.0;2608.2158203125;21140872.0;0.8538743853569031;23619374.0;3345.951171875;23619374.0;0.8509504795074463;29186782.0;3450.619873046875;29186782.0;0.7885642647743225
20;23103476.0;2728.29736328125;23103476.0;0.8225225806236267;26230622.0;3227.864990234375;26230622.0;0.8406139612197876;20709894.0;2855.733154296875;20709894.0;0.8392715454101562
21;20903390.0;2756.34814453125;20903390.0;0.8583840131759644;19323024.0;2891.92578125;19323024.0;0.8652329444885254;32785140.0;3390.789306640625;32785140.0;0.7443692088127136
22;23332466.0;3145.619384765625;23332466.0;0.8264337182044983;25741534.0;2984.217041015625;25741534.0;0.8309979438781738;21376476.0;2751.783447265625;21376476.0;0.8272245526313782
23;21762836.0;2717.265380859375;21762836.0;0.8454189896583557;26900542.0;3223.79833984375;26900542.0;0.8342430591583252;23592776.0;3035.94091796875;23592776.0;0.7886589765548706
24;21785170.0;2867.298828125;21785170.0;0.8477887511253357;30803858.0;2964.788330078125;30803858.0;0.7928820252418518;21368842.0;2450.888671875;21368842.0;0.8780853152275085
